# format: artist|title|album|year|listen_url
# Scraped from 17 playlists - 578 songs
City Girl|HEARTBREAKER CLUB|Love Girls cause I'm a Girl||https://open.spotify.com/track/6Rpk7fmD3TWTBfJnIpjiZp
YOASOBI|夜に駆ける|Love Girls cause I'm a Girl||https://open.spotify.com/track/6MCjmGYlw6mQVWRFVgBRvB
LustSickPuppy|Goatmeal|Love Girls cause I'm a Girl||https://open.spotify.com/track/2X8sPolkXBmnjgtJkA03Vy
Kero Kero Bonito|Big City|Love Girls cause I'm a Girl||https://open.spotify.com/track/2gDXQb8n9zQgFA2TrjMFD8
Lucie|Lucky|Love Girls cause I'm a Girl||https://open.spotify.com/track/5jkuq8q8itgaOxZtg8fsT7
Ashnikko|Slumber Party (feat. Princess Nokia)|Love Girls cause I'm a Girl||https://open.spotify.com/track/11ZulcYY4lowvcQm4oe3VJ
Daniel Olsén|Sayonara Wild Heart|Love Girls cause I'm a Girl||https://open.spotify.com/track/0Tttk1LkoXQvIsSQZe7XFd
SHISHAMO|ごめんね、恋心|Love Girls cause I'm a Girl||https://open.spotify.com/track/1hO84ZDSMgajrx1Ku31SrR
Drinking Boys and Girls Choir|Linda Linda - Japanese|Love Girls cause I'm a Girl||https://open.spotify.com/track/0cbjZV5Ttagjfn723XO5en
wowaka|Rollin’ Girl|Love Girls cause I'm a Girl||https://open.spotify.com/track/5VJPBUVqxzLWmzzlJZy4r2
4s4ki|Black Hole|Love Girls cause I'm a Girl||https://open.spotify.com/track/4KF2GlR5NvioL25d88oREm
4s4ki|I've always wanna kill you|Love Girls cause I'm a Girl||https://open.spotify.com/track/28RRrKJdCw8vacige8NJiq
4s4ki|35.5|Love Girls cause I'm a Girl||https://open.spotify.com/track/3pZwFRpEvBtlmvmFiLeVH8
4s4ki|I picked up a prostitute's iPhone (feat. Gokou Kuyt & maeshima soshi)|Love Girls cause I'm a Girl||https://open.spotify.com/track/5oO4McF6Xhk1gpHrJqFs1h
4s4ki|Platonic (feat. gu^2)|Love Girls cause I'm a Girl||https://open.spotify.com/track/7exmlh6VlEt0oEbZrfFb26
SHISHAMO|恋に落ちる音が聞こえたら|Love Girls cause I'm a Girl||https://open.spotify.com/track/1cFF0KjLCn4t0fYIzY1zSE
ORESAMA|ワンダードライブ|Love Girls cause I'm a Girl||https://open.spotify.com/track/22bp6FL6mzqtGDB5nJHLMn
PASSEPIED|マッカメッカ|Love Girls cause I'm a Girl||https://open.spotify.com/track/56DoXdZ66AItz9FEQEbB6D
the peggies|花火|Love Girls cause I'm a Girl||https://open.spotify.com/track/25XqyPPpj3bxBHeIVdgQuo
the peggies|君のせい|Love Girls cause I'm a Girl||https://open.spotify.com/track/7jEwBMtA7gM43NxiuvfF3h
Yunomi|ジェリーフィッシュ (feat. ローラーガール)|Love Girls cause I'm a Girl||https://open.spotify.com/track/6kIivltIxJscvk682sTXoV
Tokyo Incidents|キラーチューン|Love Girls cause I'm a Girl||https://open.spotify.com/track/7bDgXhmpzHjvWx4qrtFaDS
SILENT SIREN|Pandora|Love Girls cause I'm a Girl||https://open.spotify.com/track/41Mm5ufinb6yjCZfJKxXql
POLKADOT STINGRAY|化身|Love Girls cause I'm a Girl||https://open.spotify.com/track/5I9mt1b9n4y9fim4qsYsTq
Kero Kero Bonito|Heard a Song|Love Girls cause I'm a Girl||https://open.spotify.com/track/4cyjLMvPunnFEXB0Gvz5py
Tia|The Glory Days|Love Girls cause I'm a Girl||https://open.spotify.com/track/1XwrOMkzPExJHjSOfUaUy7
Moe Shop|Notice|Love Girls cause I'm a Girl||https://open.spotify.com/track/4n0sVfRnd0UJsqcbPj7GqN
Chara|楽しい蹴伸び|Love Girls cause I'm a Girl||https://open.spotify.com/track/4tWlxWsrnxmeBLjxQaPflR
